,TotRS_MJ
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,5.237524
160,
161,
162,
163,
164,
165,
166,6.501363
167,5.988557
168,4.207731
169,5.731231
170,5.548392
171,4.143327
172,6.879847
173,3.181463
174,4.933442
175,3.087023
176,1.081049
177,6.591402
178,2.919427
179,1.644809
180,2.239647
181,6.973295
182,6.598908
183,8.663149
184,
185,
186,
187,
188,
189,
190,6.949695
191,6.160634
192,2.85105
193,9.120522
194,10.52755
195,0.8859794
196,
197,
198,
199,
200,
201,
202,
203,
204,
205,
206,
207,
208,
209,
210,
211,
212,
213,0.6226214
214,0.8449138
215,11.45458
216,0.7322856
217,4.487064
218,
219,
220,
221,
222,0.8163454
223,
224,
225,
226,
227,
228,
229,
230,2.680528
231,2.152364
232,8.260596
233,16.05673
234,11.19572
235,17.60157
236,19.04079
237,17.21547
238,18.38393
239,19.18191
240,18.05064
241,17.33345
242,19.50396
243,19.17272
244,18.82164
245,10.86553
246,13.22708
247,19.40914
248,19.38464
249,18.74378
250,12.41687
251,17.60305
252,19.26418
253,20.25896
254,18.33665
255,19.14114
256,15.11732
257,22.47105
258,9.814843
259,14.56396
260,14.34811
261,19.62684
262,17.17153
263,24.31626
264,22.28729
265,23.49483
266,22.35677
267,24.5238
268,23.49054
269,21.22506
270,15.2483
271,8.705839
272,24.73142
273,20.92521
274,13.19126
275,24.97669
276,25.39438
277,17.33743
278,19.86416
279,11.71811
280,26.36427
281,13.46791
282,21.61561
283,24.43819
284,25.88168
285,15.33407
286,23.2667
287,25.36059
288,26.03604
289,24.25057
290,18.8605
291,26.53261
292,26.59071
293,20.10443
294,15.19647
295,21.63254
296,21.718
297,26.97874
298,17.54963
299,17.37415
300,18.15989
301,16.06483
302,25.87267
303,25.20842
304,25.33105
305,7.349362
306,27.57931
307,21.19561
308,22.68058
309,6.548773
310,13.70063
311,18.96497
312,23.06017
313,18.1789
314,4.993397
315,19.78078
316,18.90916
