Path,Station,Date,TMSTAMP,RECNBR,StnID,BatMin,ProgSig,AvgAir_T,MaxAir_T,HmMaxAir_T,MinAir_T,HmMinAir_T,AvgRH,MaxRH,HmMaxRH,MinRH,HmMinRH,Pluvio_Rain,MaxWS,HmMaxWS,AvgWS,AvgWD,AvgSD,AvgSoil_T05,MaxSoil_T05,MinSoil_T05,AvgRS_kw,MaxRS_kw,HmMaxRS,TotRS_MJ,TBRG_Rain,Avg_Soil_TP5_TempC,Max_Soil_TP5_TempC,Min_Soil_TP5_TempC,Avg_Soil_TP5_VMC,Max_Soil_TP5_VMC,Min_Soil_TP5_VMC,Avg_Soil_TP20_TempC,Max_Soil_TP20_TempC,Min_Soil_TP20_TempC,Avg_Soil_TP20_VMC,Max_Soil_TP20_VMC,Min_Soil_TP20_VMC,Avg_Soil_TP50_TempC,Max_Soil_TP50_TempC,Min_Soil_TP50_TempC,Avg_Soil_TP50_VMC,Max_Soil_TP50_VMC,Min_Soil_TP50_VMC,Avg_Soil_TP100_TempC,Max_Soil_TP100_TempC,Min_Soil_TP100_TempC,Avg_Soil_TP100_VMC,Max_Soil_TP100_VMC,Min_Soil_TP100_VMC,EvapTot24
NULL,zhoda,2023-05-02,"2023-05-03 00:00:00",772,519,12.68,7999,7.328,15.37,"2023-05-02 18:07:00",-2.058,"2023-05-02 05:21:00",55.48,88.9,"2023-05-02 05:24:00",28.09,"2023-05-02 18:05:00",0,9,"2023-05-02 15:00:05",3.267,343.7,46,1.466,2.756,0.563,0.283,0.797,"2023-05-02 13:17:40",24.38652,0,3.188,4.741,1.821,33.42,33.66,33.24,3.098,3.823,2.628,29,29.31,28.72,2.115,2.259,1.96,37.12,37.22,36.98,2.587,2.652,2.532,49.24,49.29,49.16,4.821
NULL,woodlands,2023-05-02,"2023-05-03 00:00:00",775,225,12.48,7999,8.49,18.96,"2023-05-02 18:02:00",-1.731,"2023-05-02 06:04:00",51.02,89.2,"2023-05-02 06:49:00",16.98,"2023-05-02 18:04:00",0,6.174,"2023-05-02 13:53:55",2.697,300.4,68.87,2.591,6.897,-0.713,0.281,0.795,"2023-05-02 13:36:50",24.28574,0,4.533,7.232,2.123,38.11,38.98,37.27,2.047,2.618,1.611,39.76,40.29,39.19,1.402,1.412,1.388,32.33,32.44,32.25,2.102,2.121,2.086,41.35,41.4,41.32,4.628
NULL,winkler,2023-05-02,"2023-05-03 00:00:00",776,230,12.8,7999,9.37,19.97,"2023-05-02 17:44:00",1.429,"2023-05-02 06:40:00",50.96,71.91,"2023-05-02 06:40:00",22.75,"2023-05-02 19:49:00",0,6.801,"2023-05-02 11:55:35",2.517,310.3,53.54,2.835,5.738,0.433,0.284,0.831,"2023-05-02 12:40:05",24.54892,0,3.175,4.866,1.846,40.48,41.77,39.05,1.652,2.301,1.229,44.26,45.29,42.96,1.478,1.497,1.465,20.65,20.67,20.63,2.368,2.384,2.353,23.61,23.77,23.47,4.618
NULL,windygates,2023-05-02,"2023-05-03 00:00:00",750,513,12.81,7999,7.566,16.72,"2023-05-02 17:18:00",-0.914,"2023-05-02 06:13:00",55.49,81.9,"2023-05-02 23:49:00",21.39,"2023-05-02 17:21:00",0,6.39,"2023-05-02 17:40:10",3.142,313.8,61.26,2.543,5.575,0.264,0.288,0.823,"2023-05-02 13:25:00",24.89401,0,3.686,5.999,2.089,42.49,43.51,41.59,1.293,1.312,1.281,31.93,31.97,31.87,2.015,2.039,1.998,54.19,54.32,54.08,1.968,1.99,1.957,45.75,45.79,45.72,4.781
NULL,wawanesa,2023-05-02,"2023-05-03 00:00:00",776,240,12.66,7999,8.59,20.07,"2023-05-02 17:13:00",-4.802,"2023-05-02 06:05:00",50.85,93.1,"2023-05-02 06:18:00",17.27,"2023-05-02 16:18:00",0,8.41,"2023-05-02 15:37:25",2.811,253.1,31.45,7.693,13.46,2.629,0.29,0.846,"2023-05-02 13:37:50",25.00221,0,6.835,10.64,3.468,33.13,33.39,32.82,4.731,6.04,3.84,35.43,35.72,35.23,1.002,1.017,0.988,27.32,29.63,25.87,1.88,1.895,1.865,32.73,33.01,32.46,5.446
NULL,waskada,2023-05-02,"2023-05-03 00:00:00",740,507,12.77,7999,8.25,20.22,"2023-05-02 17:54:00",-5.013,"2023-05-02 05:48:00",50.2,99.7,"2023-05-02 03:46:00",16.88,"2023-05-02 17:11:00",0,7.174,"2023-05-02 16:07:45",2.701,168.2,39.69,7.063,11.17,3.706,0.288,0.818,"2023-05-02 13:25:00",24.83855,0,12.16,15.71,9.3,18.67,18.81,18.48,6.067,7.228,5.307,28.65,28.8,28.55,3.672,3.808,3.505,26.38,26.42,26.33,5.254,5.373,5.198,22.89,22.92,22.86,5.567
NULL,vivian,2023-05-02,"2023-05-03 00:00:00",776,521,12.72,7999,7.209,15.64,"2023-05-02 18:20:00",-1.482,"2023-05-02 05:09:00",52.02,87.5,"2023-05-02 05:18:00",22.37,"2023-05-02 16:35:00",0,8.8,"2023-05-02 11:42:00",2.474,331.9,51.07,6.067,8.27,4.134,0.284,0.811,"2023-05-02 13:26:55",24.49808,0,8.97,13.61,5.347,34,34.42,33.66,7.415,8.8,6.262,42.54,42.7,42.37,4.349,4.459,4.24,46.82,48.37,46.27,3.666,3.752,3.584,35.04,35.07,34.99,4.547
NULL,virden,2023-05-02,"2023-05-03 00:00:00",754,224,12.48,7999,9.61,20.53,"2023-05-02 17:35:00",-3.182,"2023-05-02 06:15:00",48.34,93.7,"2023-05-02 06:25:00",18.36,"2023-05-02 16:56:00",0,8.6,"2023-05-02 16:40:55",2.56,218.8,49.6,8.01,13.37,3.112,0.296,0.843,"2023-05-02 13:45:45",25.55103,0,8.4,13.86,3.713,22.02,22.21,21.86,6.835,8.67,5.29,26.01,26.23,25.81,4.422,4.59,4.208,8.84,8.9,8.78,1.952,2.067,1.841,10.62,10.67,10.57,5.953
NULL,treherne,2023-05-02,"2023-05-03 00:00:00",776,201,12.74,7999,8.1,18.71,"2023-05-02 18:10:00",-3.07,"2023-05-02 04:13:00",47.51,83.4,"2023-05-02 04:15:00",18.91,"2023-05-02 17:51:00",0,7.526,"2023-05-02 18:05:20",2.754,253,37.04,3.62,6.613,1.201,0.291,0.827,"2023-05-02 13:56:05",25.12332,0,4.627,6.601,2.98,28.81,29.19,28.46,2.659,3.481,2.162,29.53,29.98,29.12,1.747,1.849,1.646,23.78,23.85,23.71,2.374,2.407,2.351,14.86,16.97,13.21,5.094
NULL,teulon,2023-05-02,"2023-05-03 00:00:00",776,207,12.79,7999,8.72,16.55,"2023-05-02 17:22:00",0.043,"2023-05-02 05:47:00",44.9,76.17,"2023-05-02 05:48:00",22.16,"2023-05-02 18:59:00",0,7.213,"2023-05-02 00:28:05",2.999,310.7,78.18,7.05,14.25,0.838,0.002,0.189,"2023-05-02 09:28:00",NULL,0,6.904,12.8,1.858,36.68,37.16,36.14,4.807,7.143,3.087,34.22,34.43,34.01,0.912,0.924,0.892,7.515,7.564,7.467,0.889,0.902,0.868,11.39,11.41,11.38,2.103
