Station,Neighbor0,Neighbor1,Neighbor2
201, 246, 559, 554
202, 237, 530, 536
203, 538, 223, 222
204, 533, 540, 539
205, 515, 517, 552
206, 564, 252, 562
207, 555, 516, 568
208, 544, 505, 506
209, 506, 509, 508
210, 568, 251, 555
211, 552, 528, 553
212, 237, 573, 524
213, 511, 526, 512
214, 550, 547, 548
215, 520, 525, 529
216, 523, 529, 547
217, 521, 567, 243
218, 515, 562, 569
219, 512, 575, 526
220, 502, 509, 209
221, 572, 233, 551
222, 535, 524, 203
223, 537, 567, 203
224, 548, 547, 531
225, 556, 536, 555
230, 244, 573, 524
231, 527, 510, 563
232, 740, 507, 543
233, 550, 566, 571
235, 554, 534, 536
237, 554, 202, 212
239, 559, 503, 240
240, 558, 506, 239
241, 508, 507, 542
242, 513, 514, 246
243, 217, 530, 203
244, 230, 535, 524
245, 543, 504, 740
246, 201, 242, 559
251, 521, 210, 557
252, 516, 562, 206
253, 574, 552, 540
255, 518, 570, 519
314, 558, 571, 551
501, 514, 502, 503
502, 503, 220, 501
503, 501, 502, 239
504, 245, 542, 740
505, 506, 208, 542
506, 509, 505, 209
507, 232, 241, 740
508, 542, 241, 209
509, 220, 506, 209
510, 231, 563, 213
511, 528, 512, 213
512, 526, 575, 213
513, 242, 230, 514
514, 513, 242, 501
515, 552, 218, 574
516, 556, 252, 569
517, 562, 206, 218
518, 519, 255, 538
519, 537, 538, 518
520, 525, 215, 523
521, 217, 251, 567
522, 560, 251, 521
523, 549, 216, 520
524, 212, 573, 222
525, 520, 215, 219
526, 219, 512, 213
527, 526, 525, 219
528, 211, 553, 511
529, 215, 216, 546
531, 245, 224, 546
740, 542, 504, 245
530, 524, 202, 222
532, 549, 219, 575
533, 534, 314, 204
534, 533, 235, 204
535, 244, 222, 538
536, 237, 202, 225
537, 223, 519, 567
538, 519, 518, 203
539, 534, 540, 204
540, 545, 539, 204
541, 572, 221, 550
542, 241, 505, 504
543, 740, 245, 232
544, 550, 208, 548
545, 221, 551, 540
546, 531, 547, 529
547, 224, 548, 214
548, 544, 550, 214
549, 532, 523, 572
550, 544, 233, 548
551, 571, 221, 545
552, 574, 515, 253
553, 211, 532, 253
554, 201, 237, 212
555, 207, 225, 568
556, 569, 225, 516
557, 565, 251, 522
558, 571, 240, 566
559, 201, 239, 246
560, 561, 522, 570
561, 560, 570, 255
562, 517, 252, 206
563, 510, 231, 213
564, 206, 562, 252
565, 251, 557, 210
566, 558, 571, 233
567, 223, 217, 537
568, 555, 210, 207
569, 556, 516, 218
570, 519, 255, 537
571, 558, 566, 314
572, 541, 549, 221
573, 524, 230, 212
574, 540, 253, 515
575, 532, 219, 512
