Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-99.95,49.91,BRANDON A,5010481,2023-04-01,2023,04,01,,2.5,,-16.4,,-7.0,,25.0,,0.0,,0.0,,0.0,,0.0,,20,,19,,39,
-99.95,49.91,BRANDON A,5010481,2023-04-02,2023,04,02,,-2.3,,-7.6,,-5.0,,23.0,,0.0,,0.0,,11.6,,11.0,,16,,6,,57,
-99.95,49.91,BRANDON A,5010481,2023-04-03,2023,04,03,,-7.1,,-14.7,,-10.9,,28.9,,0.0,,0.0,,0.0,T,0.0,T,25,,6,,44,
-99.95,49.91,BRANDON A,5010481,2023-04-04,2023,04,04,,-5.4,,-13.0,,-9.2,,27.2,,0.0,,0.0,,0.0,,0.0,,25,,6,,57,
-99.95,49.91,BRANDON A,5010481,2023-04-05,2023,04,05,,-2.8,,-8.0,,-5.4,,23.4,,0.0,,0.0,,0.0,T,0.0,T,24,,35,,61,
-99.95,49.91,BRANDON A,5010481,2023-04-06,2023,04,06,,-1.5,,-13.3,,-7.4,,25.4,,0.0,,0.0,,0.0,,0.0,,24,,,M,,M
-99.95,49.91,BRANDON A,5010481,2023-04-07,2023,04,07,,-0.8,,-16.4,,-8.6,,26.6,,0.0,,0.0,,0.0,,0.0,,18,,14,,31,
-99.95,49.91,BRANDON A,5010481,2023-04-08,2023,04,08,,4.0,,-10.6,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,12,,15,,40,
-99.95,49.91,BRANDON A,5010481,2023-04-09,2023,04,09,,4.4,,-6.6,,-1.1,,19.1,,0.0,,0.0,,0.0,,0.0,,7,,24,,33,
-99.95,49.91,BRANDON A,5010481,2023-04-10,2023,04,10,,6.8,,-3.1,,1.9,,16.1,,0.0,,0.0,,0.0,,0.0,,3,,23,,37,
-99.95,49.91,BRANDON A,5010481,2023-04-11,2023,04,11,,14.7,,-1.4,,6.7,,11.3,,0.0,,0.0,,0.0,,0.0,,2,,13,,41,
-99.95,49.91,BRANDON A,5010481,2023-04-12,2023,04,12,,9.3,,1.3,,5.3,,12.7,,0.0,,0.0,,0.0,,0.0,,0,T,30,,46,
-99.95,49.91,BRANDON A,5010481,2023-04-13,2023,04,13,,6.4,,1.3,,3.9,,14.1,,0.0,,0.0,,0.0,,0.0,,0,T,4,,59,
-99.95,49.91,BRANDON A,5010481,2023-04-14,2023,04,14,,5.7,,1.4,,3.6,,14.4,,0.0,,0.2,,0.0,,0.2,,,,6,,55,
-99.95,49.91,BRANDON A,5010481,2023-04-15,2023,04,15,,7.6,,-1.2,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,,,3,,49,
-99.95,49.91,BRANDON A,5010481,2023-04-16,2023,04,16,,12.2,,-3.6,,4.3,,13.7,,0.0,,0.0,,0.0,,0.0,,,,,M,,M
-99.95,49.91,BRANDON A,5010481,2023-04-17,2023,04,17,,9.4,,-3.0,,3.2,,14.8,,0.0,,0.0,,0.0,,0.0,,,,7,,38,
-99.95,49.91,BRANDON A,5010481,2023-04-18,2023,04,18,,5.5,,-3.2,,1.2,,16.8,,0.0,,0.0,,0.0,,0.0,,,,8,,58,
-99.95,49.91,BRANDON A,5010481,2023-04-19,2023,04,19,,0.7,,-1.8,,-0.6,,18.6,,0.0,,0.8,,2.0,,2.8,,0,T,7,,71,
-99.95,49.91,BRANDON A,5010481,2023-04-20,2023,04,20,,0.0,,-1.7,,-0.9,,18.9,,0.0,,0.0,,8.2,,8.0,,2,,6,,65,
-99.95,49.91,BRANDON A,5010481,2023-04-21,2023,04,21,,3.1,,-4.1,,-0.5,,18.5,,0.0,,0.0,,0.0,T,0.0,T,5,,1,,63,
-99.95,49.91,BRANDON A,5010481,2023-04-22,2023,04,22,,6.2,,-5.2,,0.5,,17.5,,0.0,,0.0,,0.0,,0.0,,0,T,34,,43,
-99.95,49.91,BRANDON A,5010481,2023-04-23,2023,04,23,,6.3,,-4.3,,1.0,,17.0,,0.0,,0.0,,0.0,,0.0,,0,T,7,,40,
-99.95,49.91,BRANDON A,5010481,2023-04-24,2023,04,24,,6.8,,-5.2,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,,,8,,41,
