"ï»¿""Longitude (x)""",Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (Â°C),Temp Flag,Dew Point Temp (Â°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-99.95,49.91,BRANDON A,5010481,2023-05-01 00:00,2023,05,01,00:00,-0.3,,-4.2,,75,,,,2,,12,,24.1,,97.01,,,,-4,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 01:00,2023,05,01,01:00,0.3,,-3.7,,74,,,,1,,17,,24.1,,97.00,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 02:00,2023,05,01,02:00,-0.6,,-4.0,,78,,,,36,,15,,24.1,,97.01,,,,-5,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 03:00,2023,05,01,03:00,-1.9,,-4.4,,83,,,,36,,7,,24.1,,96.99,,,,-5,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 04:00,2023,05,01,04:00,-2.4,,-4.4,,86,,,,36,,11,,24.1,,97.02,,,,-6,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 05:00,2023,05,01,05:00,-2.4,,-4.2,,88,,,,35,,13,,24.1,,97.04,,,,-7,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 06:00,2023,05,01,06:00,0.3,,-2.8,,80,,,,1,,17,,24.1,,97.07,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 07:00,2023,05,01,07:00,3.5,,-1.6,,69,,,,2,,14,,24.1,,97.14,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 08:00,2023,05,01,08:00,5.6,,-3.9,,50,,,,3,,25,,24.1,,97.14,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 09:00,2023,05,01,09:00,7.3,,-3.6,,46,,,,5,,23,,24.1,,97.15,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 10:00,2023,05,01,10:00,8.3,,-4.9,,39,,,,4,,30,,24.1,,97.13,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 11:00,2023,05,01,11:00,8.7,,-5.6,,36,,,,4,,25,,24.1,,97.12,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 12:00,2023,05,01,12:00,9.9,,-4.3,,36,,,,5,,29,,24.1,,97.10,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 13:00,2023,05,01,13:00,10.4,,-4.2,,36,,,,5,,20,,24.1,,97.07,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 14:00,2023,05,01,14:00,11.1,,-4.7,,33,,,,4,,25,,24.1,,97.03,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 15:00,2023,05,01,15:00,12.1,,-4.3,,31,,,,3,,30,,24.1,,97.00,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 16:00,2023,05,01,16:00,12.7,,-4.3,,30,,,,3,,26,,24.1,,96.97,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 17:00,2023,05,01,17:00,12.0,,-4.6,,31,,,,3,,14,,24.1,,96.98,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 18:00,2023,05,01,18:00,11.8,,-3.6,,34,,,,7,,22,,24.1,,96.97,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 19:00,2023,05,01,19:00,10.0,,-3.5,,38,,,,7,,21,,24.1,,96.97,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 20:00,2023,05,01,20:00,6.4,,-3.9,,48,,,,6,,13,,24.1,,96.97,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 21:00,2023,05,01,21:00,3.8,,-3.9,,57,,,,4,,7,,24.1,,97.00,,,,,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-01 22:00,2023,05,01,22:00,0.3,,-4.2,,72,,,,4,,7,,24.1,,97.01,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-01 23:00,2023,05,01,23:00,0.9,,-4.3,,68,,,,9,,4,,24.1,,97.02,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 00:00,2023,05,02,00:00,-0.9,,-4.8,,75,,,,36,,1,,24.1,,97.04,,,,-1,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 01:00,2023,05,02,01:00,-1.5,,-5.2,,76,,,,34,,4,,24.1,,97.04,,,,-3,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 02:00,2023,05,02,02:00,-2.5,,-6.0,,77,,,,32,,8,,24.1,,97.04,,,,-6,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 03:00,2023,05,02,03:00,-3.5,,-6.1,,83,,,,30,,12,,24.1,,97.08,,,,-8,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 04:00,2023,05,02,04:00,-3.4,,-5.9,,83,,,,31,,13,,24.1,,97.09,,,,-8,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 05:00,2023,05,02,05:00,-4.2,,-6.3,,85,,,,32,,10,,24.1,,97.10,,,,-8,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 06:00,2023,05,02,06:00,-2.9,,-5.1,,85,,,,34,,8,,24.1,,97.11,,,,-6,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 07:00,2023,05,02,07:00,2.9,,-2.2,,69,,,,28,,7,,24.1,,97.11,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 08:00,2023,05,02,08:00,7.4,,-2.8,,48,,,,29,,14,,24.1,,97.11,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 09:00,2023,05,02,09:00,9.2,,-2.8,,43,,,,26,,14,,24.1,,97.09,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 10:00,2023,05,02,10:00,11.6,,-3.3,,35,,,,28,,16,,24.1,,97.06,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 11:00,2023,05,02,11:00,13.2,,-5.8,,26,,,,28,,8,,24.1,,97.03,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 12:00,2023,05,02,12:00,14.7,,-5.8,,24,,,,33,,6,,24.1,,96.96,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 13:00,2023,05,02,13:00,16.4,,-6.5,,20,,,,27,,8,,24.1,,96.87,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 14:00,2023,05,02,14:00,18.0,,-7.2,,17,,,,27,,21,,24.1,,96.79,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 15:00,2023,05,02,15:00,18.2,,-2.6,,24,,,,22,,17,,24.1,,96.69,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-02 16:00,2023,05,02,16:00,19.0,,-3.8,,21,,,,26,,20,,24.1,,96.63,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 17:00,2023,05,02,17:00,19.8,,-4.1,,19,,,,26,,21,,24.1,,96.57,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 18:00,2023,05,02,18:00,19.4,,-2.3,,23,,,,25,,23,,24.1,,96.51,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 19:00,2023,05,02,19:00,18.2,,-1.7,,26,,,,24,,17,,24.1,,96.46,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 20:00,2023,05,02,20:00,13.5,,-2.0,,34,,,,20,,13,,24.1,,96.43,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 21:00,2023,05,02,21:00,10.2,,0.6,,51,,,,23,,16,,24.1,,96.44,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-02 22:00,2023,05,02,22:00,8.9,,-0.8,,51,,,,23,,16,,24.1,,96.42,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-02 23:00,2023,05,02,23:00,7.2,,-1.3,,55,,,,24,,15,,24.1,,96.40,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 00:00,2023,05,03,00:00,8.4,,-0.9,,52,,,,23,,21,,24.1,,96.39,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 01:00,2023,05,03,01:00,6.8,,-2.2,,53,,,,26,,10,,24.1,,96.36,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 02:00,2023,05,03,02:00,5.6,,-2.4,,56,,,,29,,11,,24.1,,96.35,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 03:00,2023,05,03,03:00,3.9,,-2.9,,61,,,,29,,12,,24.1,,96.35,,,,,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 04:00,2023,05,03,04:00,3.4,,-2.1,,67,,,,27,,13,,24.1,,96.32,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 05:00,2023,05,03,05:00,4.3,,-1.0,,68,,,,26,,13,,24.1,,96.31,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 06:00,2023,05,03,06:00,6.1,,-0.8,,61,,,,26,,16,,24.1,,96.31,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-03 07:00,2023,05,03,07:00,8.0,,-0.4,,55,,,,27,,17,,24.1,,96.30,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 08:00,2023,05,03,08:00,11.3,,0.2,,46,,,,26,,22,,24.1,,96.28,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 09:00,2023,05,03,09:00,15.3,,0.2,,36,,,,33,,11,,24.1,,96.29,,,,,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 10:00,2023,05,03,10:00,19.4,,1.5,,30,,,,6,,16,,24.1,,96.27,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 11:00,2023,05,03,11:00,20.4,,5.2,,36,,,,7,,20,,24.1,,96.29,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 12:00,2023,05,03,12:00,21.1,,7.1,,40,,,,6,,15,,24.1,,96.29,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 13:00,2023,05,03,13:00,21.4,,3.0,,29,,,,8,,17,,24.1,,96.26,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 14:00,2023,05,03,14:00,21.9,,2.5,,28,,,,6,,19,,24.1,,96.25,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 15:00,2023,05,03,15:00,21.7,,1.5,,26,,,,8,,12,,24.1,,96.23,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 16:00,2023,05,03,16:00,22.1,,1.4,,25,,,,6,,8,,24.1,,96.22,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 17:00,2023,05,03,17:00,22.3,,0.4,,23,,,,5,,19,,24.1,,96.22,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 18:00,2023,05,03,18:00,21.2,,1.7,,27,,,,7,,22,,24.1,,96.25,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 19:00,2023,05,03,19:00,19.5,,2.1,,31,,,,7,,17,,24.1,,96.27,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 20:00,2023,05,03,20:00,14.8,,2.5,,43,,,,6,,12,,24.1,,96.29,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 21:00,2023,05,03,21:00,11.9,,2.5,,52,,,,4,,8,,24.1,,96.34,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-03 22:00,2023,05,03,22:00,9.3,,0.1,,52,,,,4,,13,,24.1,,96.37,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-03 23:00,2023,05,03,23:00,8.7,,0.4,,56,,,,4,,15,,24.1,,96.40,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 00:00,2023,05,04,00:00,6.9,,0.0,,61,,,,3,,9,,24.1,,96.45,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 01:00,2023,05,04,01:00,6.3,,-0.2,,63,,,,4,,14,,24.1,,96.45,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 02:00,2023,05,04,02:00,5.9,,-0.6,,63,,,,3,,13,,24.1,,96.48,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 03:00,2023,05,04,03:00,7.3,,-0.2,,59,,,,4,,19,,24.1,,96.47,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-04 04:00,2023,05,04,04:00,7.9,,0.2,,58,,,,4,,18,,24.1,,96.50,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 05:00,2023,05,04,05:00,6.3,,0.3,,66,,,,3,,14,,24.1,,96.54,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 06:00,2023,05,04,06:00,6.5,,0.8,,67,,,,36,,5,,24.1,,96.58,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-04 07:00,2023,05,04,07:00,10.1,,2.5,,59,,,,4,,14,,24.1,,96.60,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 08:00,2023,05,04,08:00,15.1,,2.2,,42,,,,6,,16,,24.1,,96.63,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 09:00,2023,05,04,09:00,16.2,,1.1,,36,,,,8,,22,,24.1,,96.65,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 10:00,2023,05,04,10:00,16.3,,0.9,,35,,,,7,,19,,24.1,,96.65,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 11:00,2023,05,04,11:00,17.2,,1.0,,33,,,,4,,17,,24.1,,96.64,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 12:00,2023,05,04,12:00,17.4,,1.4,,34,,,,8,,20,,24.1,,96.61,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 13:00,2023,05,04,13:00,18.2,,1.6,,32,,,,6,,14,,24.1,,96.59,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 14:00,2023,05,04,14:00,18.4,,2.1,,33,,,,8,,21,,24.1,,96.58,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 15:00,2023,05,04,15:00,18.7,,2.2,,33,,,,5,,22,,24.1,,96.56,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 16:00,2023,05,04,16:00,18.4,,3.1,,36,,,,6,,25,,24.1,,96.52,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 17:00,2023,05,04,17:00,17.4,,2.2,,36,,,,9,,30,,24.1,,96.56,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 18:00,2023,05,04,18:00,16.3,,2.0,,38,,,,7,,27,,24.1,,96.56,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 19:00,2023,05,04,19:00,15.3,,2.5,,42,,,,6,,20,,24.1,,96.59,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 20:00,2023,05,04,20:00,12.2,,2.1,,50,,,,6,,18,,24.1,,96.61,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 21:00,2023,05,04,21:00,9.2,,2.0,,60,,,,5,,17,,24.1,,96.66,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-04 22:00,2023,05,04,22:00,8.3,,1.6,,62,,,,4,,17,,24.1,,96.66,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-04 23:00,2023,05,04,23:00,6.9,,1.1,,67,,,,3,,18,,24.1,,96.67,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 00:00,2023,05,05,00:00,8.3,,1.9,,64,,,,5,,22,,24.1,,96.70,,,,,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-05 01:00,2023,05,05,01:00,7.7,,1.8,,66,,,,6,,22,,24.1,,96.68,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 02:00,2023,05,05,02:00,6.4,,1.6,,71,,,,5,,20,,24.1,,96.69,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 03:00,2023,05,05,03:00,5.7,,1.2,,73,,,,5,,17,,24.1,,96.71,,,,,,Clear
-99.95,49.91,BRANDON A,5010481,2023-05-05 04:00,2023,05,05,04:00,5.5,,1.1,,73,,,,6,,20,,24.1,,96.72,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 05:00,2023,05,05,05:00,5.3,,1.4,,76,,,,6,,17,,24.1,,96.78,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 06:00,2023,05,05,06:00,6.8,,2.0,,71,,,,6,,19,,24.1,,96.85,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-05 07:00,2023,05,05,07:00,8.2,,2.6,,68,,,,7,,24,,24.1,,96.89,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 08:00,2023,05,05,08:00,9.9,,2.2,,59,,,,7,,20,,24.1,,96.92,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 09:00,2023,05,05,09:00,12.3,,2.7,,52,,,,10,,28,,24.1,,96.92,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-05 10:00,2023,05,05,10:00,13.2,,2.8,,49,,,,6,,32,,24.1,,96.94,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 11:00,2023,05,05,11:00,14.6,,2.6,,44,,,,6,,38,,24.1,,96.91,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 12:00,2023,05,05,12:00,15.3,,1.9,,40,,,,9,,40,,24.1,,96.92,,,,,,Mainly Clear
-99.95,49.91,BRANDON A,5010481,2023-05-05 13:00,2023,05,05,13:00,15.0,,2.5,,43,,,,7,,31,,24.1,,96.91,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 14:00,2023,05,05,14:00,15.2,,2.6,,42,,,,9,,31,,24.1,,96.90,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 15:00,2023,05,05,15:00,15.6,,2.6,,41,,,,9,,34,,24.1,,96.91,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-05 16:00,2023,05,05,16:00,16.0,,3.0,,42,,,,8,,26,,24.1,,96.89,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 17:00,2023,05,05,17:00,15.9,,2.7,,41,,,,8,,33,,24.1,,96.90,,,,,,
-99.95,49.91,BRANDON A,5010481,2023-05-05 18:00,2023,05,05,18:00,15.9,,2.8,,41,,,,7,,33,,24.1,,96.91,,,,,,Mostly Cloudy
-99.95,49.91,BRANDON A,5010481,2023-05-05 19:00,2023,05,05,19:00,14.3,,2.5,,45,,,,8,,27,,24.1,,96.91,,,,,,
