SN,StnID,StationName,LatDD,LongDD,Region,Column1,Air_T,RH,Pluvio,TBRG,AvgWS,AvgWD,Sol Rad,Soil Temp (5 cm),Soil Moisture & Temp (5 and 20 cm),Soil Moisture & Temp (50 and 100 cm),Barometric Pressure,location_unique_id
1,201,TREHERNE,49.635,-98.676,Central,371,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,e154f37b36a140f4af7991d0d4cf8f48
2,202,STARBUCK,49.768,-97.664,Central,237,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0,4164b62d664648d3a6efbd17d28b534d
3,203,ST. PIERRE,49.449,-96.963,Eastern,244,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,3cd6a171b29e4dc2b8cf162baf02c7ce
4,204,GLADSTONE,50.142,-98.95,Central,279,2006,2006,2011.0,2006,2007,2007,2009,2007,2016.0,2018.0,2018.0,eefd28034d8349c6b917cd6080178f11
5,205,MOOSEHORN,51.333,-98.598,Interlake,253,2006,2006,2014.0,2006,2007,2007,2016,2015,2016.0,2018.0,2018.0,72736f4745de421aa1e9980732554863
6,206,ARBORG,50.904,-97.273,Interlake,230,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0,b421f6a9f0c749559922fa2566f88abe
7,207,TEULON,50.381,-97.236,Interlake,249,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,a539f3b477c145ee81d1ccc058b5bc5e
8,208,SOURIS,49.63,-100.198,Southwest,449,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,4c57d070519043de90e091c7862e2ec6
9,209,BOISSEVAIN,49.24,-100.055,Southwest,503,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,884d9a2f607441319893b2f706239de1
10,210,SELKIRK,50.177,-96.794,Interlake,227,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0,17ee4cbe371d473eb27b9adba4fff413
11,211,ST ROSE,51.082,-99.524,Northwest,263,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0,4a0cb6fb628e466aa2fc565efdd8bbaa
12,212,CARMAN,49.498,-98.03,Central,271,2006,2006,2011.0,2006,2007,2007,2017,2007,2017.0,,,59dd2ca4fe1a4135a81aba724fe6e6b5
13,213,ETHELBERT,51.572,-100.488,Northwest,370,2006,2006,2019.0,2006,2007,2007,2019,2007,2019.0,2019.0,2019.0,059778bfde374ed5801d3a89857a0926
14,214,HAMIOTA,50.185,-100.603,Southwest,527,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,f2ab869777ec48eab38ca240fd6ffaa2
15,215,RUSSELL,50.769,-101.297,Northwest,554,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0,a6160af2909e47f697cf70c2fd5fab0e
16,216,BIRTLE,50.411,-100.893,Southwest,542,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,9774b54ed773485e8bb20f583f20cdd3
17,217,DUGALD,49.826,-96.776,Eastern,245,2006,2006,2016.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0,bff9a6804b25435bafb131670ccb50ac
18,218,ERIKSDALE,50.829,-98.111,Interlake,265,2006,2006,2014.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0,3eda0a813e6d4746bc4fff5b6ef821f6
19,219,GRANDVIEW,51.185,-100.715,Northwest,439,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0,f5a929f218d84542b364c8f6f36774a0
20,220,KILLARNEY,49.148,-99.685,Southwest,511,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,79b201f085ce470b902ef5f6206ab945
21,221,MINNEDOSA,50.272,-99.762,Southwest,563,2006,2006,2014.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,1bbbec8723f44e8d99a8ed504bd8b0a9
22,222,MORRIS,49.361,-97.322,Central,239,2006,2006,2011.0,2006,2007,2007,2007,2007,2016.0,2018.0,2018.0,9f6f20b87c7f43ff86fdcea94939a418
23,223,STEINBACH,49.55,-96.681,Eastern,258,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2019.0,2019.0,2f424808915147969f9d46db62470cff
24,224,VIRDEN,49.878,-100.918,Southwest,442,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,d487e54455504c8e80d189704e157e67
25,225,WOODLANDS,50.161,-97.712,Interlake,252,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0,c24f37fdb1c944c78380da759116b59d
26,230,WINKLER,49.122,-97.932,Central,279,2007,2007,2011.0,2007,2007,2007,2007,2007,2016.0,2018.0,2018.0,854ab6f4493e40e0a611ec30e7b53b5a
27,231,SWAN VALLEY,52.057,-101.49,Northwest,375,2007,2007,2016.0,2007,2007,2007,2017,2007,2016.0,2018.0,2018.0,9682a314730f4adc9d523e4af5c2daba
28,232,PIERSON,49.215,-101.21,Southwest,470,2007,2007,2016.0,2007,2007,2007,2017,2007,2016.0,2018.0,2018.0,412a8efa708a40829d697026b1c68f4d
29,233,FORREST,50.054,-99.926,Southwest,502,2007,2007,2014.0,2007,2007,2007,2007,2007,2016.0,2018.0,2018.0,94516c8b08454b30b27ac905240e603c
30,235,PORTAGE EAST,49.97,-98.254,Central,257,2008,2008,2014.0,2008,2008,2008,2008,2008,2016.0,2018.0,2018.0,bfa77092035247de89fa0b531e1fa494
31,237,ELM CREEK,49.68,-97.984,Central,264,2008,2008,2011.0,2008,2008,2008,2008,2008,2016.0,2019.0,2019.0,3569213ba4fd49ec9326771729371641
32,239,GLENBORO,49.547,-99.326,Southwest,373,2009,2009,2014.0,2009,2009,2009,2017,2009,2016.0,2018.0,2018.0,a508c2a6a9d540568405dc62b606fa73
33,240,WAWANESA,49.636,-99.662,Southwest,374,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2019.0,2019.0,173f9e9d18bd4ebbb1a165287ec55122
34,241,DELORAINE,49.148,-100.491,Southwest,514,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2018.0,2018.0,18a73e53bbab4eee84989b11f26420d6
35,242,MANITOU,49.245,-98.545,Central,485,2010,2010,2011.0,2010,2010,2010,2017,2010,2016.0,2018.0,2018.0,2f9e434e452845bd8df3e80084625d66
36,243,ST ADOLPHE,49.696,-97.118,Eastern,229,2011,2011,2011.0,2011,2011,2011,2011,2011,2016.0,2018.0,2018.0,dbddf944e8644bd8a7af2fe2a6a89e42
37,244,ALTONA,49.095,-97.528,Central,246,2012,2012,2011.0,2012,2012,2012,2012,2012,2016.0,2018.0,2018.0,c741d9162f3b459fa2c2a276900babeb
38,245,RESTON,49.576,-101.033,Southwest,481,2013,2013,2016.0,2013,2013,2013,2017,2013,2016.0,2018.0,2018.0,3303d34faec84dd79944955c508b1b54
39,246,SOMERSET,49.414,-98.704,Central,476,2012,2012,2014.0,2012,2012,2012,2012,2012,2016.0,2018.0,2018.0,d1acd92c9d374fb2a070c0d82ac0e11f
40,251,BEAUSEJOUR,50.116,-96.434,Eastern,235,2014,2014,2014.0,2014,2014,2014,2014,2014,2016.0,2019.0,2019.0,f3da56de201e403eaf79f84d38594e9b
41,252,NARCISSE,50.702,-97.53,Interlake,278,2014,2014,2011.0,2014,2014,2014,2014,2014,2016.0,2018.0,2018.0,51522d23095b466c865bc9d9764768bf
42,253,ALONSA,50.698,-99.068,Northwest,288,2015,2015,2011.0,2015,2015,2015,2015,2015,2016.0,2019.0,2019.0,80a953f05b314058a0f86fb38df87879
43,255,MENISINO,49.097,-96.137,Eastern,349,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,fa42049899c24fbb8c3a5c7a51d9f412
44,314,CARBERRY,49.905,-99.354,Southwest,377,2007,2007,,2007,2011,2011,2017,2017,2017.0,,,df7ffd8ad48142d2acce6dc06af54245
45,501,CLEARWATER,49.118,-99.054,Central,457,2015,2015,2015.0,2015,2015,2015,2015,2015,2016.0,2018.0,2018.0,f535260424164470beebf059d60425f0
