SN,StnID,StationName,LatDD,LongDD,Region,Column1,Air_T,RH,Pluvio,TBRG,AvgWS,AvgWD,Sol Rad,Soil Temp (5 cm),Soil Moisture & Temp (5 and 20 cm),Soil Moisture & Temp (50 and 100 cm),Barometric Pressure
1,201,TREHERNE,49.635,-98.676,Central,371,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
2,202,STARBUCK,49.768,-97.664,Central,237,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
3,203,ST. PIERRE,49.449,-96.963,Eastern,244,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
4,204,GLADSTONE,50.142,-98.95,Central,279,2006,2006,2011.0,2006,2007,2007,2009,2007,2016.0,2018.0,2018.0
5,205,MOOSEHORN,51.333,-98.598,Interlake,253,2006,2006,2014.0,2006,2007,2007,2016,2015,2016.0,2018.0,2018.0
6,206,ARBORG,50.904,-97.273,Interlake,230,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
7,207,TEULON,50.381,-97.236,Interlake,249,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
8,208,SOURIS,49.63,-100.198,Southwest,449,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
9,209,BOISSEVAIN,49.24,-100.055,Southwest,503,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
10,210,SELKIRK,50.177,-96.794,Interlake,227,2006,2006,2011.0,2006,2007,2007,2012,2007,2016.0,2019.0,2019.0
11,211,ST ROSE,51.082,-99.524,Northwest,263,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
12,212,CARMAN,49.498,-98.03,Central,271,2006,2006,2011.0,2006,2007,2007,2017,2007,2017.0,,
13,213,ETHELBERT,51.572,-100.488,Northwest,370,2006,2006,2019.0,2006,2007,2007,2019,2007,2019.0,2019.0,2019.0
14,214,HAMIOTA,50.185,-100.603,Southwest,527,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
15,215,RUSSELL,50.769,-101.297,Northwest,554,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
16,216,BIRTLE,50.411,-100.893,Southwest,542,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
17,217,DUGALD,49.826,-96.776,Eastern,245,2006,2006,2016.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0
18,218,ERIKSDALE,50.829,-98.111,Interlake,265,2006,2006,2014.0,2006,2007,2007,2016,2007,2016.0,2018.0,2018.0
19,219,GRANDVIEW,51.185,-100.715,Northwest,439,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2017.0,2018.0
20,220,KILLARNEY,49.148,-99.685,Southwest,511,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
21,221,MINNEDOSA,50.272,-99.762,Southwest,563,2006,2006,2014.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
22,222,MORRIS,49.361,-97.322,Central,239,2006,2006,2011.0,2006,2007,2007,2007,2007,2016.0,2018.0,2018.0
23,223,STEINBACH,49.55,-96.681,Eastern,258,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2019.0,2019.0
24,224,VIRDEN,49.878,-100.918,Southwest,442,2006,2006,2011.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
25,225,WOODLANDS,50.161,-97.712,Interlake,252,2006,2006,2016.0,2006,2007,2007,2017,2007,2016.0,2018.0,2018.0
26,230,WINKLER,49.122,-97.932,Central,279,2007,2007,2011.0,2007,2007,2007,2007,2007,2016.0,2018.0,2018.0
27,231,SWAN VALLEY,52.057,-101.49,Northwest,375,2007,2007,2016.0,2007,2007,2007,2017,2007,2016.0,2018.0,2018.0
