Name,Province,Climate ID,Station ID,WMO ID,TC ID,Latitude (Decimal Degrees),Longitude (Decimal Degrees),Latitude,Longitude,Elevation (m),First Year,Last Year,HLY First Year,HLY Last Year,DLY First Year,DLY Last Year,MLY First Year,MLY Last Year
ALEXANDER,MANITOBA,5010033,3461,,,49.83,-100.3,495000000,-1001800000,427,1979,1999,,,1979,1999,1979,1999
ARROW RIVER,MANITOBA,5010114,3462,,,50.17,-100.85,501000000,-1005100000,486.2,1982,1983,,,1982,1983,1982,1983
BALDUR,MANITOBA,5010140,3463,,,49.28,-99.29,491634900,-991732500,449.9,1962,2024,,,1962,2024,1962,2007
BALDUR 5 NORTHEAST,MANITOBA,5010143,6880,,,49.42,-99.17,492500000,-991000000,425.3,1991,1995,,,1991,1995,1991,1995
BEDE,MANITOBA,5010180,3464,,,49.37,-100.93,492200000,-1005600000,442,1956,1977,,,1956,1977,1956,1977
BELMONT,MANITOBA,5010190,3465,,,49.4,-99.43,492400000,-992600000,447.4,1891,1906,,,1891,1906,1891,1906
BELMONT,MANITOBA,5010191,3466,,,49.3,-99.45,491800000,-992700000,481.6,1984,2016,,,1984,2016,1984,2007
BINSCARTH,MANITOBA,5010216,3467,,,50.58,-101.27,503500000,-1011600000,525.8,1973,2005,,,1973,2005,1973,2005
BIRDTAIL,MANITOBA,5010227,3468,,,50.82,-100.92,504900000,-1005500000,577.6,1989,1995,,,1989,1995,1989,1995
BIRTLE,MANITOBA,5010240,3469,,,50.43,-101.05,502600000,-1010300000,522,1883,2000,,,1883,2000,1883,2000
BOGGY CREEK,MANITOBA,5010310,3470,,,51.54,-101.39,513219000,-1012328000,609,1977,2014,,,1977,2014,1977,2007
BRANDON A,MANITOBA,5010480,3471,71140,YBR,49.91,-99.95,495436000,-995707000,409.4,1941,2012,1958,2012,1941,2012,1941,2012
BRANDON A,MANITOBA,5010481,50821,71140,YBR,49.91,-99.95,495436000,-995708000,409.3,2012,2024,2012,2024,2012,2024,,
BRANDON CDA,MANITOBA,5010485,3472,,,49.87,-99.98,495200000,-995900000,362.7,1890,2010,,,1890,2010,1890,2007
BRANDON RCS,MANITOBA,5010490,49909,71136,PBO,49.9,-99.95,495400000,-995700000,409.4,2012,2024,2012,2024,2012,2024,,
BRANDON SOUTH,MANITOBA,5010494,3473,,,49.82,-99.95,494900000,-995700000,396.2,1972,1975,,,1972,1975,1972,1975
BRANDON #1 WINTER BAY,MANITOBA,5010498,3474,,,49.83,-99.98,495000000,-995900000,396,1987,2002,,,1987,2002,1987,2002
BROOKDALE,MANITOBA,5010524,3476,,,50.02,-99.57,500100000,-993400000,392.4,1987,2003,,,1987,2003,1987,2003
CAMERON,MANITOBA,5010538,3477,,,49.47,-100.47,492800000,-1002800000,442,1984,2001,,,1984,2001,1984,2001
CARBERRY CS,MANITOBA,5010547,27741,71170,WZE,49.91,-99.36,495420900,-992126800,383.5,1994,2024,1994,2024,1994,2024,1996,2007
CARBERRY,MANITOBA,5010548,3478,,,49.87,-99.35,495200000,-992100000,385,1962,1999,,,1962,1999,1962,1999
CARDALE,MANITOBA,5010550,3479,,,50.23,-100.33,501400000,-1002000000,556.3,1966,1972,,,1966,1972,1966,1972
CARROLL,MANITOBA,5010554,3480,,,49.55,-100,493300000,-1000000000,487.7,1969,1984,,,1969,1984,1969,1984
CARROLL 2W,MANITOBA,50105ED,3475,,,49.6,-100.07,493600000,-1000400000,457.2,1973,1975,,,1973,1975,1973,1975
CLANWILLIAM,MANITOBA,5010609,27869,,,50.35,-99.81,502105000,-994850000,623.3,1999,2001,,,1999,2001,1999,2001
CYPRESS RIVER,MANITOBA,5010640,3481,,,49.55,-99.08,493300000,-990500000,374.3,1904,2012,,,1904,2012,1904,2007
CYPRESS RIVER RCS,MANITOBA,5010641,48128,71239,POY,49.56,-99.07,493344000,-990426000,374,2009,2024,2009,2024,2009,2024,,
DELORAINE,MANITOBA,5010760,3482,,,49.18,-100.5,491100000,-1003000000,500.5,1897,1994,,,1897,1994,1925,1994
DELORAINE 2,MANITOBA,5010761,3483,,,49.17,-100.4,491000000,-1002400000,533.4,1953,1976,,,1953,1976,1953,1976
DELORAINE 6 SE,MANITOBA,5010762,3484,,,49.15,-100.37,490900000,-1002200000,548.6,1976,1977,,,1976,1977,1976,1977
EDWIN,MANITOBA,5010859,3485,,,49.82,-98.52,494900000,-983100000,300.8,1986,1986,,,1986,1986,1986,1986
ELKHORN,MANITOBA,5010868,3486,,,49.97,-101.23,495800000,-1011400000,499,1891,1987,,,1891,1987,1891,1987
ERICKSON,MANITOBA,5010893,3487,,,50.43,-99.9,502600000,-995400000,635.5,1971,1971,,,1971,1971,1971,1971
ERICKSON,MANITOBA,5010894,3488,,,50.48,-99.9,502900000,-995400000,648,1985,1986,,,1985,1986,1985,1986
FAIRFAX,MANITOBA,5010906,3489,,,49.42,-100.13,492500000,-1000800000,480.1,1987,1990,,,1987,1990,1987,1990
FORT ELLICE,MANITOBA,5010977,3490,,,50.42,-101.23,502500000,-1011400000,,1883,1894,,,1883,1894,1883,1894
FOXWARREN,MANITOBA,5010981,3491,,,50.52,-101.15,503100000,-1010900000,533.4,1969,2001,,,1969,2001,1969,2001
FOXWARREN NORTH,MANITOBA,5010982,27611,,,50.6,-101.17,503600000,-1011000000,556.3,1998,2001,,,1998,2001,1998,2001
ELKHORN 2 EAST,MANITOBA,5010QFQ,3460,,,49.93,-101.2,495536200,-1011210100,497.5,1987,2024,,,1987,2024,1987,2007
GLENBORO,MANITOBA,5011051,3492,,,49.57,-99.33,493400000,-992000000,371.9,1970,1992,,,1970,1992,1970,1992
GOODLANDS CDA EPF,MANITOBA,5011080,3493,,,49.13,-100.6,490800000,-1003600000,499.9,1951,1976,,,1951,1976,1951,1976
GRISWOLD,MANITOBA,5011224,3494,,,49.82,-100.47,494900000,-1002800000,403.9,1979,1981,,,1979,1981,1979,1981
HAMIOTA,MANITOBA,5011240,3495,,,50.18,-100.62,501100000,-1003700000,518.2,1914,1991,,,1914,1991,1914,1991
HAMIOTA 2,MANITOBA,5011241,3496,,,50.18,-100.6,501100000,-1003600000,519.7,1975,2002,,,1975,2002,1975,2002
HARDING,MANITOBA,5011275,3497,,,50.03,-100.5,500200000,-1003000000,472.4,1966,1983,,,1966,1983,1966,1983
HARGRAVE CDA EPF,MANITOBA,5011280,3498,,,49.92,-101.1,495500000,-1010600000,487.7,1951,1970,,,1951,1970,1951,1970
HARTNEY,MANITOBA,5011282,3499,,,49.45,-100.52,492700000,-1003100000,442,1973,1973,,,1973,1973,1973,1973
HARTNEY,MANITOBA,5011283,3500,,,49.5,-100.53,493000000,-1003200000,428.2,1979,1984,,,1979,1984,1979,1984
HILLVIEW,MANITOBA,5011293,3501,,,49.92,-100.55,495500000,-1003300000,426.7,1885,1920,,,1885,1920,1885,1920
INGLIS,MANITOBA,5011360,3502,,,50.9,-101.23,505400000,-1011400000,594.4,1949,1969,,,1949,1969,1949,1969
KENTON,MANITOBA,5011434,3503,,,49.98,-100.58,495900000,-1003500000,449,1987,2006,,,1987,2006,1987,2006
LYLETON,MANITOBA,5011600,3504,,,49.05,-101.18,490300000,-1011100000,460.2,1951,1983,,,1951,1983,1951,1983
MACDONALD A,MANITOBA,5011680,3505,,,50.08,-98.45,500500000,-982700000,254.5,1951,1959,,,1951,1959,1951,1959
MCCONNELL,MANITOBA,5011705,3506,,,50.27,-100.6,501600000,-1003600000,541,1966,1975,,,1966,1975,1966,1975
MEDORA,MANITOBA,5011715,3507,,,49.25,-100.7,491500000,-1004200000,458.1,1965,1968,,,1965,1968,1965,1968
MELITA,MANITOBA,5011720,3508,,,49.33,-101,492000000,-1010000000,442,1936,1960,,,1936,1960,1936,1960
MELITA 2,MANITOBA,5011721,6881,,,49.28,-100.98,491700000,-1005900000,422,1991,1995,,,1991,1995,1991,1995
MINNEDOSA,MANITOBA,5011760,3509,,,50.27,-99.83,501600000,-995000000,521.2,1880,1999,,,1880,1999,1881,1999
MINTO,MANITOBA,5011762,3510,,,49.45,-100.05,492700000,-1000300000,477,1979,1985,,,1979,1985,1979,1985
