StnID,StationName,lat,long,Elevation,NormLocation
201,Treherne,49.635,-98.676,371,5992010
202,Starbuck,49.768,-97.664,237,5992020
203,St. Pierre,49.449,-96.963,244,5992030
204,Gladstone,50.142,-98.95,279,5992040
205,Moosehorn,51.333,-98.598,253,5992050
206,Arborg,50.904,-97.273,230,5992060
207,Teulon,50.381,-97.236,249,5992070
208,Souris,49.63,-100.198,449,5992080
209,Boissevain,49.24,-100.055,503,5992090
210,Selkirk,50.177,-96.794,227,5992100
211,St Rose,51.082,-99.524,263,5992110
212,Carman,49.498,-98.03,271,5992120
213,Ethelbert,51.572,-100.488,370,5992130
214,Hamiota,50.185,-100.603,527,5992140
215,Russell,50.769,-101.297,554,5992150
216,Birtle,50.411,-100.893,542,5992160
217,Dugald,49.826,-96.776,245,5992170
218,Eriksdale,50.829,-98.111,265,5992180
219,Grandview,51.185,-100.715,439,5992190
220,Killarney,49.148,-99.685,511,5992200
221,Minnedosa,50.272,-99.762,563,5992210
222,Morris,49.361,-97.322,239,5992220
223,Steinbach,49.55,-96.681,258,5992230
224,Virden,49.878,-100.918,442,5992240
225,Woodlands,50.161,-97.712,252,5992250
230,Winkler,49.122,-97.932,279,5992300
231,Swan Valley,52.057,-101.49,375,5992310
232,Pierson,49.215,-101.21,470,5992320
233,Forrest,50.054,-99.926,502,5992330
235,Portage East,49.97,-98.254,257,5992350
237,Elm Creek,49.68,-97.984,264,5992370
239,Glenboro,49.547,-99.326,373,5992390
240,Wawanesa,49.636,-99.662,374,5992400
241,Deloraine,49.148,-100.491,514,5992410
242,Manitou,49.245,-98.545,485,5992420
243,St Adolphe,49.696,-97.118,229,5992430
244,Altona,49.095,-97.528,246,5992440
245,Reston,49.576,-101.033,481,5992450
246,Somerset,49.414,-98.704,476,5992460
251,Beausejour,50.116,-96.434,235,5992510
252,Narcisse,50.702,-97.53,278,5992520
253,Alonsa,50.698,-99.068,288,5992530
255,Menisino,49.097,-96.137,349,5992550
314,Carberry,49.905,-99.354,377,5993140
501,Clearwater,49.118,-99.054,457,5995010
502,Cartwright,49.088,-99.325,465,5995020
503,Baldur,49.356,-99.248,432,5995030
504,Findlay,49.547,-100.782,434,5995040
505,Argue,49.436,-100.308,466,5995050
506,Minto,49.428,-99.924,472,5995060
507,Waskada,49.088,-100.93,452,5995070
508,Mountainside,49.13,-100.298,584,5995080
509,Ninette,49.326,-99.699,470,5995090
510,Minitonas,52.144,-100.882,318,5995100
511,Fork River,51.538,-100.006,263,5995110
512,Drifting River,51.358,-100.361,338,5995120
513,Windygates,49.008,-98.38,476,5995130
514,Snowflake,49.016,-98.673,476,5995140
515,Taylor's Point,50.862,-98.448,250,5995150
516,Inwood,50.507,-97.622,266,5995160
517,Fisherton,51.185,-97.769,253,5995170
518,Gardenton,49.088,-96.64,298,5995180
519,Zhoda,49.252,-96.511,305,5995190
520,Ruthenia,50.827,-100.903,591,5995200
521,Vivian,49.885,-96.411,268,5995210
522,Elma,49.875,-95.92,284,5995220
523,Oakburn,50.595,-100.672,587,5995230
524,Kane,49.355,-97.704,246,5995240
525,Inglis,50.948,-101.259,572,5995250
