SN,StnID,StationName,stn_lat,stn_long,Region,Elevation
1,201,Treherne,49.635,-98.676,Central,371
2,202,Starbuck,49.768,-97.664,Central,237
3,203,St. Pierre,49.449,-96.963,Eastern,244
4,204,Gladstone,50.142,-98.95,Central,279
5,205,Moosehorn,51.333,-98.598,Interlake,253
6,206,Arborg,50.904,-97.273,Interlake,230
7,207,Teulon,50.381,-97.236,Interlake,249
8,208,Souris,49.63,-100.198,Southwest,449
9,209,Boissevain,49.24,-100.055,Southwest,503
10,210,Selkirk,50.177,-96.794,Interlake,227
11,211,St Rose,51.082,-99.524,Northwest,263
12,212,Carman,49.498,-98.03,Central,271
13,213,Ethelbert,51.572,-100.488,Northwest,370
14,214,Hamiota,50.185,-100.603,Southwest,527
15,215,Russell,50.769,-101.297,Northwest,554
16,216,Birtle,50.411,-100.893,Southwest,542
17,217,Dugald,49.826,-96.776,Eastern,245
18,218,Eriksdale,50.829,-98.111,Interlake,265
19,219,Grandview,51.185,-100.715,Northwest,439
20,220,Killarney,49.148,-99.685,Southwest,511
21,221,Minnedosa,50.272,-99.762,Southwest,563
22,222,Morris,49.361,-97.322,Central,239
23,223,Steinbach,49.55,-96.681,Eastern,258
24,224,Virden,49.878,-100.918,Southwest,442
25,225,Woodlands,50.161,-97.712,Interlake,252
26,230,Winkler,49.122,-97.932,Central,279
27,231,Swan Valley,52.057,-101.49,Northwest,375
28,232,Pierson,49.215,-101.21,Southwest,470
29,233,Forrest,50.054,-99.926,Southwest,502
30,235,Portage East,49.97,-98.254,Central,257
31,237,Elm Creek,49.68,-97.984,Central,264
32,239,Glenboro,49.547,-99.326,Southwest,373
33,240,Wawanesa,49.636,-99.662,Southwest,374
34,241,Deloraine,49.148,-100.491,Southwest,514
35,242,Manitou,49.245,-98.545,Central,485
36,243,St Adolphe,49.696,-97.118,Eastern,229
37,244,Altona,49.095,-97.528,Central,246
38,245,Reston,49.576,-101.033,Southwest,481
39,246,Somerset,49.414,-98.704,Central,476
40,251,Beausejour,50.116,-96.434,Eastern,235
41,252,Narcisse,50.702,-97.53,Interlake,278
42,253,Alonsa,50.698,-99.068,Northwest,288
43,255,Menisino,49.097,-96.137,Eastern,349
44,314,Carberry,49.905,-99.354,Southwest,377
45,501,Clearwater,49.118,-99.054,Central,457
46,502,Cartwright,49.088,-99.325,Central,465
47,503,Baldur,49.356,-99.248,Central,432
48,504,Findlay,49.547,-100.782,Southwest,434
49,505,Argue,49.436,-100.308,Southwest,466
50,506,Minto,49.428,-99.924,Southwest,472
51,507,Waskada,49.088,-100.93,Southwest,452
52,508,Mountainside,49.13,-100.298,Southwest,584
53,509,Ninette,49.326,-99.699,Southwest,470
54,510,Minitonas,52.144,-100.882,Northwest,318
55,511,Fork River,51.538,-100.006,Northwest,263
56,512,Drifting River,51.358,-100.361,Northwest,338
57,513,Windygates,49.008,-98.38,Central,476
58,514,Snowflake,49.016,-98.673,Central,476
59,515,Taylor's Point,50.862,-98.448,Interlake,250
60,516,Inwood,50.507,-97.622,Interlake,266
